package,requested_catalog_or_alias,locked_versions,registry_latest_2026_09_22,latest_present_in_lock,advisory_records,note
@ai-sdk/openai-compatible,3.0.25,3.0.25,3.0.53,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@ai-sdk/react,^4.0.59,4.0.59,4.0.112,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@assistant-ui/react,0.15.8,0.15.8,0.15.21,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@assistant-ui/react-ai-sdk,1.4.4,1.4.4,1.4.12,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@assistant-ui/react-lexical,0.2.7,0.2.7,0.2.14,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@assistant-ui/react-markdown,0.14.9,0.14.9,0.14.16,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@auth/core,^0.41.3,0.41.3,0.41.3,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@auth/drizzle-adapter,^1.11.3,1.11.3,1.11.3,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@babel/parser,^7.29.7,7.29.7,7.29.9,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@base-ui/react,,1.6.0,1.8.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@codemirror/autocomplete,^6.20.3,6.20.3,6.20.3,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@codemirror/commands,^6.10.3,6.10.3,6.11.1,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@codemirror/lang-css,^6.3.1,6.3.1,6.3.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@codemirror/lang-javascript,^6.2.5,6.2.5,6.2.5,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@codemirror/lang-json,^6.0.2,6.0.2,6.0.2,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@codemirror/lint,^6.9.6,6.9.6,6.9.7,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@codemirror/state,^6.6.0,6.6.0,6.7.6,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@codemirror/theme-one-dark,^6.1.3,6.1.3,6.1.3,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@codemirror/view,^6.43.0,6.43.0,6.43.13,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@ctrl/deluge,^8.0.0,8.0.0,8.0.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@ctrl/qbittorrent,^9.14.0,9.14.0,9.16.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@ctrl/transmission,^7.4.0,7.4.0,7.4.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@dnd-kit/abstract,0.5.0,0.5.0,0.5.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@dnd-kit/collision,0.5.0,0.5.0,0.5.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@dnd-kit/core,^6.3.1,6.3.1,6.3.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@dnd-kit/dom,0.5.0,0.5.0,0.5.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@dnd-kit/modifiers,^9.0.0,9.0.0,9.0.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@dnd-kit/react,0.5.0,0.5.0,0.5.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@dnd-kit/sortable,^10.0.0,10.0.0,10.0.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@dnd-kit/utilities,^3.2.2,3.2.2,3.2.2,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@docusaurus/core,,3.10.1,3.10.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@docusaurus/faster,,3.10.1,3.10.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@docusaurus/module-type-aliases,,3.10.1,3.10.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@docusaurus/plugin-content-docs,,3.10.1,3.10.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@docusaurus/plugin-sitemap,,3.10.1,3.10.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@docusaurus/preset-classic,,3.10.1,3.10.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@docusaurus/tsconfig,,3.10.1,3.10.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@docusaurus/types,,3.10.1,3.10.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@drizzle-team/brocli,^0.12.0,0.10.2; 0.12.0,0.12.1,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@extractus/feed-extractor,7.2.1,7.2.1,8.0.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@fec/remark-a11y-emoji,,4.0.2,4.0.2,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@gfazioli/mantine-onboarding-tour,^4.0.7,4.0.8,4.0.11,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@gitbeaker/rest,^43.8.0,,43.8.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@homarr/node-unifi,^2.6.0,2.6.0,2.6.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@immich/sdk,^3.0.2,3.0.2,3.2.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@jellyfin/sdk,^0.13.0,0.13.0,1.0.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@kubernetes/client-node,^1.4.0,1.4.0,2.0.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@mantine/charts,^9.6.0,9.6.0,9.6.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@mantine/colors-generator,^9.6.0,9.6.0,9.6.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@mantine/core,^9.6.0,9.6.0,9.6.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@mantine/dates,^9.6.0,9.6.0,9.6.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@mantine/dropzone,^9.6.0,9.6.0,9.6.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@mantine/form,^9.6.0,9.6.0,9.6.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@mantine/hooks,^9.6.0,9.6.0,9.6.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@mantine/lightbox,^9.6.0,9.6.0,9.6.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@mantine/modals,^9.6.0,9.6.0,9.6.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@mantine/notifications,^9.6.0,9.6.0,9.6.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@mantine/spotlight,^9.6.0,9.6.0,9.6.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@mantine/tiptap,^9.6.0,9.6.0,9.6.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@mdx-js/react,,3.1.1,3.1.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@modelcontextprotocol/server,2.0.0,2.0.0,2.0.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@nivo/line,,0.99.0,0.99.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@octokit/auth-app,^8.2.0,8.2.0,8.3.1,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@paralleldrive/cuid2,^3.3.0,3.3.0,3.3.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@playwright/test,^1.61.1,1.61.1,1.63.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@rexa-developer/tiks,^0.3.0,0.3.0,0.3.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@scalar/api-reference-react,^0.9.54,0.9.54,0.9.72,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@semantic-release/changelog,^7.0.0,7.0.0,7.0.0,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@semantic-release/commit-analyzer,^13.0.1,13.0.1,13.0.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@semantic-release/git,^11.0.1,11.0.1,11.0.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@semantic-release/github,^12.0.9,12.0.9,12.0.10,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@semantic-release/npm,^13.1.5,13.1.5,13.2.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@semantic-release/release-notes-generator,^14.1.1,14.1.1,14.1.1,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@shadcn/react,^0.2.1,,0.3.1,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@t3-oss/env-nextjs,^0.13.11,0.13.11,0.13.11,True,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tabler/icons-react,^3.44.0,3.44.0,3.47.0,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tailwindcss/postcss,,4.3.2,4.3.3,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tanstack/query-sync-storage-persister,5.101.2,5.101.2,5.103.2,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
@tanstack/react-devtools,^0.10.8,0.10.9,0.10.12,False,0,Latest dist-tag comparison only; not upgrade compatibility advice
