"source","package","before","after"
"workspace catalog","@ai-sdk/openai-compatible","3.0.25","3.0.53"
"workspace catalog","@ai-sdk/react","^4.0.59","^4.0.112"
"workspace catalog","@assistant-ui/react","0.15.8","0.15.21"
"workspace catalog","@assistant-ui/react-ai-sdk","1.4.4","1.4.12"
"workspace catalog","@assistant-ui/react-lexical","0.2.7","0.2.14"
"workspace catalog","@assistant-ui/react-markdown","0.14.9","0.14.16"
"workspace catalog","@babel/parser","^7.29.7","^7.29.9"
"workspace catalog","@codemirror/commands","^6.10.3","^6.11.1"
"workspace catalog","@codemirror/lint","^6.9.6","^6.9.7"
"workspace catalog","@codemirror/state","^6.6.0","^6.7.6"
"workspace catalog","@codemirror/view","^6.43.0","^6.43.13"
"workspace catalog","@ctrl/qbittorrent","^9.14.0","^9.16.0"
"workspace catalog","@drizzle-team/brocli","^0.12.0","^0.12.1"
"workspace catalog","@gfazioli/mantine-onboarding-tour","^4.0.7","^4.0.11"
"workspace catalog","@immich/sdk","^3.0.2","^3.2.2"
"workspace catalog","@mantine/charts","^9.6.0","^9.6.2"
"workspace catalog","@mantine/colors-generator","^9.6.0","^9.6.2"
"workspace catalog","@mantine/core","^9.6.0","^9.6.2"
"workspace catalog","@mantine/dates","^9.6.0","^9.6.2"
"workspace catalog","@mantine/dropzone","^9.6.0","^9.6.2"
"workspace catalog","@mantine/form","^9.6.0","^9.6.2"
"workspace catalog","@mantine/hooks","^9.6.0","^9.6.2"
"workspace catalog","@mantine/lightbox","^9.6.0","^9.6.2"
"workspace catalog","@mantine/modals","^9.6.0","^9.6.2"
"workspace catalog","@mantine/notifications","^9.6.0","^9.6.2"
"workspace catalog","@mantine/spotlight","^9.6.0","^9.6.2"
"workspace catalog","@mantine/tiptap","^9.6.0","^9.6.2"
"workspace catalog","@octokit/auth-app","^8.2.0","^8.3.1"
"workspace catalog","@playwright/test","^1.61.1","^1.63.0"
"workspace catalog","@scalar/api-reference-react","^0.9.54","^0.9.72"
"workspace catalog","@semantic-release/github","^12.0.9","^12.0.10"
"workspace catalog","@semantic-release/npm","^13.1.5","^13.2.0"
"workspace catalog","@tabler/icons-react","^3.44.0","^3.48.0"
"workspace catalog","@tanstack/query-sync-storage-persister","5.101.2","5.103.2"
"workspace catalog","@tanstack/react-devtools","^0.10.8","^0.10.12"
"workspace catalog","@tanstack/react-query","^5.101.2","^5.103.2"
"workspace catalog","@tanstack/react-query-devtools","^5.101.2","^5.103.2"
"workspace catalog","@tanstack/react-query-next-experimental","^5.101.2","^5.103.2"
"workspace catalog","@tanstack/react-query-persist-client","^5.101.2","^5.103.2"
"workspace catalog","@testcontainers/postgresql","^12.0.4","^12.1.0"
"workspace catalog","@testcontainers/redis","^12.0.4","^12.1.0"
"workspace catalog","@tiptap/extension-color","3.27.3","3.31.3"
"workspace catalog","@tiptap/extension-details","3.27.3","3.31.3"
"workspace catalog","@tiptap/extension-highlight","3.27.3","3.31.3"
"workspace catalog","@tiptap/extension-image","3.27.3","3.31.3"
"workspace catalog","@tiptap/extension-link","^3.27.3","^3.31.3"
"workspace catalog","@tiptap/extension-placeholder","^3.27.3","^3.31.3"
"workspace catalog","@tiptap/extension-table","3.27.3","3.31.3"
"workspace catalog","@tiptap/extension-table-cell","3.27.3","3.31.3"
"workspace catalog","@tiptap/extension-table-header","3.27.3","3.31.3"
"workspace catalog","@tiptap/extension-table-row","3.27.3","3.31.3"
"workspace catalog","@tiptap/extension-task-item","3.27.3","3.31.3"
"workspace catalog","@tiptap/extension-task-list","3.27.3","3.31.3"
"workspace catalog","@tiptap/extension-text-align","3.27.3","3.31.3"
"workspace catalog","@tiptap/extension-text-style","3.27.3","3.31.3"
"workspace catalog","@tiptap/extension-underline","3.27.3","3.31.3"
"workspace catalog","@tiptap/react","^3.27.3","^3.31.3"
"workspace catalog","@tiptap/starter-kit","^3.27.3","^3.31.3"
"workspace catalog","@trpc/client","^11.18.0","^11.19.0"
"workspace catalog","@trpc/next","^11.18.0","^11.19.0"
"workspace catalog","@trpc/react-query","^11.18.0","^11.19.0"
"workspace catalog","@trpc/server","^11.18.0","^11.19.0"
"workspace catalog","@trpc/tanstack-react-query","^11.18.0","^11.19.0"
"workspace catalog","@turbo/gen","^2.10.4","^2.11.2"
"workspace catalog","@types/node","^24.13.3","^24.13.6"
"workspace catalog","@types/pg","^8.20.0","^8.23.1"
"workspace catalog","@types/react","19.2.17","19.3.0"
"workspace catalog","@types/react-dom","19.2.3","19.3.0"
"workspace catalog","@vitejs/plugin-react","^6.0.3","^6.1.1"
"workspace catalog","@vitest/coverage-v8","^4.1.10","^4.1.11"
"workspace catalog","@vitest/ui","^4.1.10","^4.1.11"
"workspace catalog","@xterm/addon-canvas","^0.7.0","removed"
"workspace catalog","acorn","^8.16.0","^8.18.0"
"workspace catalog","adm-zip","0.6.0","0.6.1"
"workspace catalog","ai","^7.0.56","^7.0.109"
"workspace catalog","ajv","8.18.0","8.20.0"
"workspace catalog","assistant-stream","0.3.34","0.3.44"
"workspace catalog","concurrently","^10.0.3","^10.0.5"
"workspace catalog","conventional-changelog-conventionalcommits","^10.2.0","^10.4.0"
"workspace catalog","cookies","^0.9.1","^0.9.2"
"workspace catalog","dayjs","^1.11.21","^1.11.23"
"workspace catalog","drizzle-kit","^0.31.10","^0.31.11"
"workspace catalog","drizzle-orm","^0.45.2","^0.45.3"
"workspace catalog","esbuild","^0.28.0","^0.28.2"
"workspace catalog","fast-xml-parser","^5.10.1","^5.11.1"
"workspace catalog","fastify","^5.9.0","^5.12.5"
"workspace catalog","input-otp","^1.4.2","^1.5.0"
"workspace catalog","isomorphic-dompurify","^3.18.0","^3.19.0"
"workspace catalog","jotai","^2.20.1","^2.20.3"
"workspace catalog","jszip","^3.10.1","^3.10.2"
"workspace catalog","ldapts","8.1.8","8.2.0"
"workspace catalog","lucide-react","^1.24.0","^1.47.0"
"workspace catalog","mantine-contextmenu","^9.3.1","^9.4.0"
"workspace catalog","mantine-datatable","^9.3.1","9.3.1"
"workspace catalog","mantine-react-table","npm:mantine-react-table-open@9.0.3","npm:mantine-react-table-open@9.0.6"
"workspace catalog","mermaid","^11.15.0","^11.17.2"
