package,path,test_files,scripts,validation
@homarr/docs,apps/docs,4,docusaurus; dev; start; build; serve; clear; typecheck; lint; format; clean; swizzle; write-translations; write-heading-ids; api-dump-contributors; verify:search,"Source inventory; current affected CI only, not full package acceptance"
@homarr/nextjs,apps/nextjs,120,build; clean; dev; format; lint; start; typecheck; with-env,"Source inventory; current affected CI only, not full package acceptance"
@homarr/tasks,apps/tasks,0,clean; dev; format; lint; typecheck; with-env,"Source inventory; current affected CI only, not full package acceptance"
@homarr/websocket,apps/websocket,0,clean; dev; format; lint; typecheck; with-env,"Source inventory; current affected CI only, not full package acceptance"
@homarr/analytics,packages/analytics,0,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/api,packages/api,61,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/auth,packages/auth,15,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/boards,packages/boards,2,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/cli,packages/cli,0,build; clean; format; lint; run; typecheck; with-env,"Source inventory; current affected CI only, not full package acceptance"
@homarr/common,packages/common,7,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/core,packages/core,2,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/cron-job-status,packages/cron-job-status,0,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/cron-jobs-core,packages/cron-jobs-core,0,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/cron-jobs,packages/cron-jobs,0,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/custom-widgets,packages/custom-widgets,19,clean; check:architecture; generate:catalog; generate:components; generate; evaluate:ai; test:ai; test:assistant-ai; test:reference-apis; format; lint; test; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/db,packages/db,9,build; build:postgresql; build:sqlite; clean; format; lint; migration:custom; migration:postgresql:drop; migration:postgresql:generate; migration:postgresql:run; migration:sqlite:drop; migration:sqlite:generate; migration:sqlite:run; push:postgresql; push:sqlite; seed; studio; studio:postgresql; typecheck; with-env,"Source inventory; current affected CI only, not full package acceptance"
@homarr/definitions,packages/definitions,10,clean; format; postinstall; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/docker,packages/docker,4,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/form,packages/form,0,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/forms-collection,packages/forms-collection,2,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/icons,packages/icons,0,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/image-proxy,packages/image-proxy,0,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/integrations,packages/integrations,45,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/modals-collection,packages/modals-collection,1,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/modals,packages/modals,2,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/notifications,packages/notifications,0,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/onboarding,packages/onboarding,4,clean; format; lint; test; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/ping,packages/ping,0,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/redis,packages/redis,1,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/request-handler,packages/request-handler,16,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/server-settings,packages/server-settings,0,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/settings,packages/settings,0,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/spotlight,packages/spotlight,2,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/translation,packages/translation,2,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/ui,packages/ui,5,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/validation,packages/validation,4,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/widgets,packages/widgets,79,clean; format; lint; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/workshop,packages/workshop,2,clean; format; lint; test; typecheck,"Source inventory; current affected CI only, not full package acceptance"
@homarr/github,tooling/github,0,,"Source inventory; current affected CI only, not full package acceptance"
@homarr/tsconfig,tooling/typescript,0,,"Source inventory; current affected CI only, not full package acceptance"
