locale,english_keys,missing_keys,empty_values,equal_to_english,extra_keys,fallback_required,note
ca,4365,2099,3,74,586,2102,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
cn,4365,2018,0,37,723,2018,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
cr,4365,2066,0,0,603,2066,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
cs,4365,2099,9,55,586,2108,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
da,4365,2099,289,112,586,2388,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
de-CH,4365,2099,7,112,586,2106,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
de,4365,2067,228,132,602,2295,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
el,4365,2099,41,44,586,2140,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
en-gb,4365,2093,676,1362,593,2769,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
en,4365,0,0,4365,0,0,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
es,4365,2099,422,52,586,2521,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
et,4365,2099,7,40,586,2106,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
fi,4365,2099,771,32,586,2870,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
fr,4365,2060,207,118,594,2267,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
he,4365,2099,593,8,586,2692,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
hr,4365,2099,1,41,586,2100,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
hu,4365,2099,0,36,586,2099,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
it,4365,2066,0,126,603,2066,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
ja,4365,2099,587,40,586,2686,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
ko,4365,2073,0,27,602,2073,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
lt,4365,2099,30,33,586,2129,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
lv,4365,2099,13,44,588,2112,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
nl,4365,2099,294,129,586,2393,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
no,4365,2099,0,86,586,2099,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
pl,4365,2066,0,78,603,2066,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
pt-br,4365,2075,193,87,598,2268,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
pt,4365,2099,7,86,586,2106,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
ro,4365,2099,0,99,586,2099,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
ru,4365,2099,0,27,586,2099,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
sk,4365,2099,509,45,586,2608,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
sl,4365,2099,6,37,586,2105,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
sv,4365,2099,6,75,586,2105,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
tr,4365,2099,0,26,586,2099,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
uk,4365,2098,0,20,587,2098,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
vi,4365,2099,14,42,586,2113,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
zh,4365,2055,389,35,586,2444,Key parity only; equal English can be intentional; ICU/linguistic/visual quality not validated
