kind,source,source_exists,colocated_test_files,test_paths,direct_doc_paths,acceptance
clock,packages/widgets/src/clock,True,1,packages/widgets/src/clock/world-clock.spec.ts,apps/docs/docs/widgets/clock/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
airQuality,packages/widgets/src/air-quality,True,1,packages/widgets/src/air-quality/display.spec.ts,apps/docs/docs/widgets/air-quality/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
countdown,packages/widgets/src/countdown,True,1,packages/widgets/src/countdown/recurrence.spec.ts,apps/docs/docs/widgets/countdown/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
timer,packages/widgets/src/timer,True,1,packages/widgets/src/timer/runtime.spec.ts,apps/docs/docs/widgets/timer/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
app,packages/widgets/src/app,True,0,,apps/docs/docs/widgets/app/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
assistant,packages/widgets/src/assistant,True,1,packages/widgets/src/assistant/definition.spec.ts,apps/docs/docs/widgets/assistant/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
archiveTeamWarrior,packages/widgets/src/archive-team-warrior,True,1,packages/widgets/src/archive-team-warrior/layout.spec.ts,apps/docs/docs/widgets/archive-team-warrior/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
anchorNote,packages/widgets/src/anchor-note,True,1,packages/widgets/src/anchor-note/content.spec.ts,apps/docs/docs/widgets/anchor-note/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
notebook,packages/widgets/src/notebook,True,3,packages/widgets/src/notebook/display.spec.ts; packages/widgets/src/notebook/read-only-task-item.spec.ts; packages/widgets/src/notebook/text-direction.spec.ts,apps/docs/docs/widgets/notebook/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
iframe,packages/widgets/src/iframe,True,1,packages/widgets/src/iframe/component.spec.ts,apps/docs/docs/widgets/iframe/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
video,packages/widgets/src/video,True,0,,apps/docs/docs/widgets/video/index.mdx,Not executed; directory-level inventory only; shared tests/docs may cover this widget
dnsHoleSummary,packages/widgets/src/dns-hole/summary,True,0,,,Not executed; directory-level inventory only; shared tests/docs may cover this widget
dnsHoleControls,packages/widgets/src/dns-hole/controls,True,0,,,Not executed; directory-level inventory only; shared tests/docs may cover this widget
smartHome-entityState,packages/widgets/src/smart-home/entity-state,True,1,packages/widgets/src/smart-home/entity-state/state.spec.ts,,Not executed; directory-level inventory only; shared tests/docs may cover this widget
